"","Count","Frequency","severity"
"CE_01",2115,42.33,2.79
"CE_02",2587,51.77,3.09
"CE_03",3156,63.16,2.85
"CE_04",1667,33.36,2.99
"CE_05",4239,84.83,3.52
"CE_06",2079,41.6,2.93
"CE_07",594,11.89,3.37
"CE_08",4349,87.03,2.88
"CE_09",4450,89.05,3.11
"CE_10",4037,80.79,2.89
"CE_11",782,15.65,3.74
"CE_12",552,11.05,3.84
"CE_13",1140,22.81,2.99
"CE_14",2695,53.93,2.9
"CE_15",4570,91.45,2.95
"CE_16",3949,79.03,3.02
"CE_17",842,16.85,3.3
"CE_18",889,17.79,3.43
"CE_19",2512,50.27,2.71
"CE_20",3739,74.82,2.96
"CE_21",2408,48.19,3.18
"CE_22",2136,42.75,2.89
"CE_23",3354,67.12,3.09
"CE_24",1501,30.04,2.54
"CE_25",1165,23.31,3.42
"CE_26",1381,27.64,3.36
"CE_27",2621,52.45,2.52
"CE_28",3059,61.22,2.34
"CE_29",4623,92.52,3.2
"CE_30",1184,23.69,3.98
"GE_01",4060,81.25,3.05
"GE_02",2942,58.88,2.89
"GE_03",2021,40.44,2.98
"GE_04",2359,47.21,3.16
"GE_05",2219,44.41,3.26
"GE_06",1821,36.44,2.87
"GE_07",3039,60.82,2.96
"GE_08",1866,37.34,2.33
"GE_09",755,15.11,2.49
"GE_10",2082,41.66,3.59
"GE_11",431,8.63,3.97
"GE_12",510,10.21,3.78
